CustomerID,TransactionDate,Amount,ProductCategory,Location,PaymentMethod
CUST0177,2023-02-12,1468.92,Clothing,,Debit
CUST0359,2022-04-13,421.06,Beauty,,paypal
CUST0315,2023-12-25,94.63,Beauty,,Credit Card
CUST0422,2023-09-07,865.11,Clothing,Chicago,Debit
cust0312,2023-02-15,1224.07,,Chicago,
CUST0030,2024-04-19,342.29,,HOUSTON,Credit Card
CUST0337,2023-06-15,564.87,Electronics,,cash
CUST0358,2022-06-23,,Home,los angeles,
CUST0081,2022-10-10,1557.14,Home,,CRD
CUST0103,2024-01-25,1404.28,Clothing,Phoenix,paypal
CUST0287,2022-12-23,688.42,Toys,los angeles,cash
CUST0233,2023-08-12,-0.65,Grocery,HOUSTON,cash
CUST0038,2022-12-15,1893.5,,Chicago,cash
CUST0295,2023-03-30,1931.77,,,Debit
CUST0493,2023-11-29,916.05,Electronics,HOUSTON,Credit Card
CUST0196,2022-08-14,1350.6,Books,,paypal
CUST0181,2022-01-10,1398.65,Toys,los angeles,paypal
CUST0345,2022-12-17,142.82,Grocery,HOUSTON,paypal
CUST0458,2022-07-07,1893.71,Books,HOUSTON,
CUST0377,2022-09-29,405.63,Books,,Debit
CUST0183,2022-04-20,230.96,Clothing,,
CUST0004,2023-07-09,1915.57,,Chicago,cash
CUST0460,2023-08-12,1736.23,,los angeles,cash
CUST0114,2022-05-12,98.84,Beauty,HOUSTON,cash
CUST0178,2023-12-04,1549.57,,New York,
CUST0162,2022-01-13,1344.95,Beauty,Phoenix,Credit Card
CUST0314,2022-07-11,1092.61,Books,Chicago,CRD
CUST0176,2023-05-26,842.13,Beauty,,paypal
CUST0206,2022-07-04,1138.53,Books,,Credit Card
CUST0412,2023-03-19,1711.18,Books,los angeles,
cust0413,2022-05-18,1991.08,,Phoenix,
CUST0250,2023-07-30,1715.59,Electronics,HOUSTON,Credit Card
CUST0031,2022-09-18,947.84,Clothing,HOUSTON,
CUST0185,2023-07-25,1863.01,Toys,Chicago,Credit Card
CUST0180,2023-09-13,389.91,,los angeles,paypal
CUST0345,2024-03-04,1470.42,Clothing,HOUSTON,cash
CUST0324,2022-06-21,1277.57,Home,HOUSTON,
CUST0208,2022-03-15,149.01,Home,los angeles,paypal
