CustomerID,Date,Amount,Category,Location,Payment_Method
177,2023-02-12,1468.92,Clothing,,Debit Card
359,2022-04-13,421.06,Beauty,,PayPal
315,2023-12-25,94.63,Beauty,,Credit Card
422,2023-09-07,865.11,Clothing,Chicago,Debit Card
312,2023-02-15,1224.07,,Chicago,
30,2024-04-19,342.29,,Houston,Credit Card
337,2023-06-15,564.87,Electronics,,Cash
81,2022-10-10,1557.14,Home,,Credit Card
103,2024-01-25,1404.28,Clothing,Phoenix,PayPal
287,2022-12-23,688.42,Toys,Los Angeles,Cash
233,2023-08-12,-0.65,Grocery,Houston,Cash
38,2022-12-15,1893.5,,Chicago,Cash
295,2023-03-30,1931.77,,,Debit Card
493,2023-11-29,916.05,Electronics,Houston,Credit Card
196,2022-08-14,1350.6,Books,,PayPal
181,2022-01-10,1398.65,Toys,Los Angeles,PayPal
345,2022-12-17,142.82,Grocery,Houston,PayPal
458,2022-07-07,1893.71,Books,Houston,
377,2022-09-29,405.63,Books,,Debit Card
183,2022-04-20,230.96,Clothing,,
4,2023-07-09,1915.57,,Chicago,Cash
460,2023-08-12,1736.23,,Los Angeles,Cash
114,2022-05-12,98.84,Beauty,Houston,Cash
178,2023-12-04,1549.57,,New York,
162,2022-01-13,1344.95,Beauty,Phoenix,Credit Card
314,2022-07-11,1092.61,Books,Chicago,Credit Card
176,2023-05-26,842.13,Beauty,,PayPal
206,2022-07-04,1138.53,Books,,Credit Card
412,2023-03-19,1711.18,Books,Los Angeles,
413,2022-05-18,1991.08,,Phoenix,
250,2023-07-30,1715.59,Electronics,Houston,Credit Card
31,2022-09-18,947.84,Clothing,Houston,
185,2023-07-25,1863.01,Toys,Chicago,Credit Card
180,2023-09-13,389.91,,Los Angeles,PayPal
345,2024-03-04,1470.42,Clothing,Houston,Cash
324,2022-06-21,1277.57,Home,Houston,
208,2022-03-15,149.01,Home,Los Angeles,PayPal
150,2023-09-12,1285.74,Toys,Houston,PayPal
267,2023-02-28,326.31,Electronics,Los Angeles,
129,2023-12-19,1496.98,Books,Los Angeles,Credit Card
33,2023-04-30,1092.35,Electronics,,Credit Card
43,2023-09-25,302.1,Beauty,Chicago,Debit Card
146,2022-05-10,253.87,Grocery,New York,Credit Card
441,2023-05-03,929.06,,Chicago,Cash
497,2023-07-07,345.84,,,
289,2023-10-18,1275.45,Toys,Chicago,Credit Card
473,2024-02-13,948.9,Electronics,,Credit Card
306,2022-01-08,1091.91,Books,Houston,Cash
128,2024-01-25,1288.44,Beauty,Los Angeles,PayPal
321,2024-02-22,1597.92,Toys,Chicago,
415,2022-07-12,1705.5,Grocery,Los Angeles,PayPal
26,2022-01-23,363.73,Clothing,Chicago,PayPal
225,2022-08-27,171.3,Electronics,Houston,Debit Card
160,2023-05-26,1995.91,,,Credit Card
432,2022-05-30,102.64,Beauty,New York,Cash
99,2022-09-14,1632.67,Electronics,New York,
395,2022-09-11,1472.61,Electronics,Los Angeles,Credit Card
49,2022-08-02,940.38,Toys,Chicago,Debit Card
22,2023-07-17,1037.06,Toys,Houston,
185,2023-11-14,427.75,Clothing,Los Angeles,
22,2023-12-09,945.29,Grocery,Chicago,Credit Card
256,2023-09-26,670.23,Electronics,New York,PayPal
360,2022-04-20,242.91,Books,Chicago,Cash
388,2023-03-26,1463.71,Electronics,,Credit Card
69,2022-02-10,965.46,,Phoenix,PayPal
251,2022-07-11,1082.68,Home,,Credit Card
426,2023-07-22,312.29,,Los Angeles,Credit Card
135,2023-04-10,-8.55,,Houston,
10,2023-01-08,1549.79,Books,Chicago,
496,2023-02-01,371.64,,,Cash
145,2023-10-19,637.27,Clothing,Phoenix,
428,2022-07-02,1745.72,Books,New York,Credit Card
17,2024-05-06,771.08,,Phoenix,Cash
132,2024-01-06,132.46,Books,,Credit Card
427,2024-03-31,1274.22,Home,Phoenix,
213,2024-03-24,1413.95,Toys,Phoenix,Credit Card
428,2022-08-10,1920.78,Clothing,New York,
198,2023-06-23,1310.32,Grocery,Phoenix,
383,2023-10-16,1148.89,,,
54,2022-07-04,1095.43,,Chicago,
308,2022-12-27,1803.99,,Chicago,PayPal
325,2024-01-14,640.14,Books,Phoenix,Cash
18,2023-09-03,22.77,Grocery,Chicago,Credit Card
114,2022-11-19,33.62,Toys,Phoenix,Cash
475,2022-04-07,65.85,Home,Los Angeles,Debit Card
456,2022-08-27,505.05,Toys,New York,Cash
470,2022-03-21,1444.4,,Los Angeles,Credit Card
354,2024-04-19,1814.39,Toys,New York,
196,2022-02-27,1842.96,Home,Chicago,Credit Card
445,2024-02-28,445.7,Electronics,,
157,2022-11-23,1075.26,Grocery,Chicago,Cash
79,2024-01-20,1994.71,,,Cash
47,2022-10-24,1570.6,Grocery,Los Angeles,PayPal
293,2023-07-16,792.37,Clothing,Houston,Cash
358,2022-05-19,956.65,Books,Houston,Credit Card
101,2024-01-24,1043.74,Books,New York,PayPal
166,2023-08-13,170.09,Beauty,Houston,PayPal
165,2023-11-03,38.66,Toys,Los Angeles,PayPal
412,2022-05-30,875.33,Books,Los Angeles,
388,2022-03-29,215.87,Electronics,Los Angeles,Cash
445,2022-10-22,17.6,Clothing,Chicago,Credit Card
170,2023-07-05,415.87,,Phoenix,PayPal
319,2022-05-25,1387.09,Electronics,Houston,Cash
270,2022-10-18,393.4,Toys,New York,Credit Card
445,2023-01-31,454.65,Beauty,Phoenix,
162,2023-09-04,1058.44,Grocery,Los Angeles,Cash
288,2022-01-23,69.9,,Chicago,PayPal
382,2022-12-22,1365.47,Home,,PayPal
257,2022-03-05,1247.84,Beauty,,Credit Card
486,2022-06-05,676.99,Beauty,,Debit Card
196,2023-11-26,1221.02,Books,Houston,Debit Card
219,2023-09-12,651.86,,Los Angeles,Debit Card
298,2024-03-30,396.64,Grocery,Chicago,
269,2023-03-17,1991.33,Grocery,,Cash
163,2023-06-30,1896.69,Clothing,Los Angeles,PayPal
75,2024-02-23,630.56,Beauty,Houston,PayPal
479,2023-10-15,1865.83,Toys,Los Angeles,Debit Card
95,2023-09-24,526.39,Books,Phoenix,Debit Card
14,2023-12-06,1557.45,Grocery,Phoenix,Cash
333,2024-05-22,768.8,,Los Angeles,Debit Card
17,2022-01-16,1850.12,Beauty,Los Angeles,
104,2022-03-09,345.93,,,Cash
167,2022-09-10,849.39,Electronics,Phoenix,
369,2023-09-19,1877.67,,Phoenix,
403,2023-04-13,1652.29,Electronics,Los Angeles,Cash
377,2024-02-23,1257.6,Electronics,Los Angeles,PayPal
453,2024-04-27,564.69,Grocery,Houston,PayPal
28,2022-05-26,921.79,,New York,
93,2023-12-14,1088.28,Beauty,Houston,PayPal
92,2023-12-31,1790.55,,New York,PayPal
333,2024-03-26,319.63,Clothing,New York,Credit Card
325,2023-06-21,1411.63,,Phoenix,Debit Card
195,2022-12-10,1126.64,Grocery,Los Angeles,Debit Card
365,2022-11-12,612.13,,Chicago,
461,2022-07-27,-2.9,Toys,New York,Credit Card
256,2022-01-06,1212.05,,Los Angeles,Debit Card
244,2023-03-29,149.6,Electronics,Los Angeles,Cash
322,2024-04-25,407.35,Grocery,Los Angeles,Credit Card
19,2022-02-03,1330.66,Toys,Chicago,Credit Card
214,2022-06-15,1340.9,,Los Angeles,Credit Card
185,2022-04-06,1534.71,Home,Chicago,Credit Card
389,2023-07-18,120.5,,Los Angeles,Credit Card
141,2023-02-28,1044.54,Books,Phoenix,Credit Card
374,2023-06-26,1974.25,,,
404,2022-10-22,848.38,Home,Chicago,Cash
320,2022-05-13,1224.72,,Phoenix,
253,2023-09-17,457.77,Toys,Los Angeles,Credit Card
239,2022-05-01,1472.31,Books,,Cash
212,2024-04-05,1271.38,Electronics,,Debit Card
131,2022-11-12,593.57,,Chicago,Credit Card
171,2024-01-12,1133.53,Electronics,,Debit Card
427,2023-11-20,953.01,,,Credit Card
247,2023-04-17,1783.04,,Chicago,Credit Card
212,2022-02-27,1668.56,Toys,Phoenix,
285,2022-08-02,1150.57,Home,,PayPal
77,2022-02-01,671.7,Beauty,,Cash
293,2022-07-11,1186.34,Toys,,PayPal
140,2023-05-24,1752.87,Home,Houston,PayPal
155,2023-01-19,1567.74,Books,New York,Credit Card
410,2023-05-28,299.7,Home,Houston,
159,2022-05-27,1536.66,Clothing,,Cash
68,2022-02-07,913.33,,New York,Credit Card
23,2023-09-01,1742.47,Home,Houston,Credit Card
